0,1,2,3,4,5,9,10,11,12,13,14,15,16,17,21,22,23,24,25,26,27,28,29
,,,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),2025,2025,2025,2025.0,2025.0,2025.0,2025,2025,2025,2024,2024,2024,2024.0,2024.0,2024.0,2024,2024,2024
,,,Maturities(calendar year),Maturities(calendar year),Maturities(calendar year),Amount(in millions),Amount(in millions),Amount(in millions),,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate,Amount(in millions),Amount(in millions),Amount(in millions),,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate
2013 – 2023 debt issuances:,2013 – 2023 debt issuances:,2013 – 2023 debt issuances:,,,,,,,,,,,,,,,,,,,,,
Fixed-rate 0.000% – 4.850% notes,Fixed-rate 0.000% – 4.850% notes,Fixed-rate 0.000% – 4.850% notes,2025 – 2062,2025 – 2062,2025 – 2062,$,86781,,,,,0.03% – 5.75%,0.03% – 5.75%,0.03% – 5.75%,$,97341,,,,,0.03% – 6.65%,0.03% – 6.65%,0.03% – 6.65%
2025 debt issuance:,2025 debt issuance:,2025 debt issuance:,,,,,,,,,,,,,,,,,,,,,
Fixed-rate 4.000% – 4.750% notes,Fixed-rate 4.000% – 4.750% notes,Fixed-rate 4.000% – 4.750% notes,2028 – 2035,2028 – 2035,2028 – 2035,4500,4500,,,,,4.07% – 4.83%,4.07% – 4.83%,4.07% – 4.83%,—,—,,,,,,,
Total term debt principal,Total term debt principal,Total term debt principal,,,,91281,91281,,,,,,,,97341,97341,,,,,,,
"Unamortized premium/(discount) and issuance costs, net","Unamortized premium/(discount) and issuance costs, net","Unamortized premium/(discount) and issuance costs, net",,,,(309),(309),,,,,,,,(321),(321),,,,,,,
Hedge accounting fair value adjustments,Hedge accounting fair value adjustments,Hedge accounting fair value adjustments,,,,(294),(294),,,,,,,,(358),(358),,,,,,,
Total term debt,Total term debt,Total term debt,,,,90678,90678,,,,,,,,96662,96662,,,,,,,
Less: Current portion of term debt,Less: Current portion of term debt,Less: Current portion of term debt,,,,"(12,350)","(12,350)",,,,,,,,"(10,912)","(10,912)",,,,,,,
Total non-current portion of term debt,Total non-current portion of term debt,Total non-current portion of term debt,,,,$,78328,,,,,,,,$,85750,,,,,,,
